scenarioId,group,title,lane,status,validationScope,reason,executionMode,flowId,depositId,lineId,scheduleIds,notes,artifactPaths
"RS-094","System Edge Cases","One split line looks off but total is exact","deterministic","not-recorded","scenario-proof","","browser-live","generic-1tom-split-family","75fd941e-8614-40fc-b9ee-39acac07450e","b206178c-5f7e-44a4-9455-b017ff854d13","1274ec2a-54c2-4dcb-9185-6f1cee0de73c","",""
"RS-095","System Edge Cases","Both usage and commission differ slightly from rounding","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","c51b5f32-666f-4ccc-9069-56ba50bdec17","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-096","System Edge Cases","Small usage rounding cannot explain large commission gap","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","c51b5f32-666f-4ccc-9069-56ba50bdec17","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-097","System Edge Cases","Rounded display shows 0 but underlying source created cents","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","4868fa49-89f5-44b7-ab5a-803ca5816e32","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-098","Decision Paths","User accepts actual rate for current schedule only","ui-review","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","4868fa49-89f5-44b7-ab5a-803ca5816e32","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-099","Decision Paths","User accepts actual rate for this and future schedules","ui-review","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","4868fa49-89f5-44b7-ab5a-803ca5816e32","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-100","Decision Paths","User accepts actual rate and updates master catalog","ui-review","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","4868fa49-89f5-44b7-ab5a-803ca5816e32","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-101","Decision Paths","User agrees actual usage is valid one-off variance","ui-review","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","4868fa49-89f5-44b7-ab5a-803ca5816e32","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-102","Decision Paths","User manually distributes deposit across schedules","ui-review","not-recorded","scenario-proof","","browser-live","generic-1tom-split-family","75fd941e-8614-40fc-b9ee-39acac07450e","b206178c-5f7e-44a4-9455-b017ff854d13","1274ec2a-54c2-4dcb-9185-6f1cee0de73c","",""
"RS-103","Decision Paths","User accepts matched portion and leaves remainder open","ui-review","not-recorded","scenario-proof","","browser-live","generic-partial-review","699a0e77-69d6-485c-ba8e-ddacd988ecf8","1c37b342-821a-4b28-9e51-db131e84f780","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-104","Decision Paths","User decides candidate is wrong despite strong metadata","ui-review","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","4868fa49-89f5-44b7-ab5a-803ca5816e32","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-105","Decision Paths","User confirms spiff/flat/minimum payout is valid","ui-review","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","4868fa49-89f5-44b7-ab5a-803ca5816e32","098200f0-c427-4e12-92d5-1c398263f851","",""
